Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
TAYN_P,Taynuilt,T3,T,7,0.5,-0.1,0,19,14,30,1,0,0,N/A for summer
TELR,Telford Road,S6,S,10,1.4,-0.8,0,4,0,0,0,0,0,N/A for summer
TEMP_3,Templeborough,P3,P,3,14.3,13.9,0,9,0,0,1,0,0,N/A for summer
THOM_6,Thorpe Marsh,P6,P,36,-6.0,-6.5,9,205,2,0,20,0,0,N/A for summer
THUR_6,Thurcroft,P3,P,62,0.0,-5.8,53,58,35,0,78,0,0,N/A for summer
THSO_P,Thurso,T5,T,19,-10.4,-13.7,4,37,94,0,39,0,0,N/A for summer
TILBB_1,Tilbury,C1,C,63,24.5,13.2,30,165,13,0,60,0,0,N/A for summer
TONG,Tongland,S6,S,9,-1.2,-1.2,1,10,6,1,1,0,0,N/A for summer
TOTT_1,Tottenham,A1,A,105,51.8,-66.2,2,30,0,0,59,0,0,N/A for summer
TRAW_1,Trawsfynydd,M7,M,85,-17.2,-17.2,2,77,220,12,9,0,0,N/A for summer
TUMB_P,Tummel Bridge,T4,T,1,19.3,17.9,0,7,1,19,1,0,0,N/A for summer
TYNE_1,Tynemouth 1,Q4,Q,52,5.8,-40.0,14,9,0,0,2,0,0,N/A for summer
TYNE_2,Tynemouth 2,Q4,Q,10,-5.2,-5.7,28,56,0,0,35,0,0,N/A for summer
UPPB_1,Upper Boat 132kV,H2,H,78,-1.6,-8.4,4,100,92,1,128,0,0,N/A for summer
UPPB_3,Upper Boat 33kV,H2,H,7,0.4,-0.4,0,38,0,0,5,0,0,N/A for summer
USKM_1,Uskmouth,H2,H,119,-11.3,-31.6,26,310,39,0,53,0,0,N/A for summer
WALH_1,Walham,G1,G,171,136.5,73.4,7,266,0,0,57,0,0,N/A for summer
WABO,Walney 2,R4,R,116,2.6,0.5,0,0,0,0,4,0,0,N/A for summer
WALP_1,Walpole (_A),J1,J,219,-11.3,-40.5,15,611,300,0,153,0,0,N/A for summer
WALP_B,Walpole (_B),J1,J,47,0.1,-8.6,9,347,28,0,107,0,0,N/A for summer
WARL_1,Warley,C6,C,65,88.9,-20.2,111,149,2,0,53,0,0,N/A for summer
