Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other,Dx Storage Demand,Micro storage Demand,DSR
ENDE_1,Enderby,L8,L,491.16,75.245,30.20286067,60.395,110.783,2.881,0,10.298,0,0,-11.508
ERSK,Erskine,S6,S,20.188,1.361,0.609993351,0.008,0.991,0,0,0,0,0,-0.423
EXET1,Exeter,F6,F,352.933,15.372,-11.41578883,1.537,168.583,1.331,0.38,39.909,0,0,-7.798
FASN_P,Fasnakyle,T1,T,1.707,3.31,3.31,0,0,2.37,1.35,0,0,0,-0.04
FAWL_1,Fawley,B2,B,197.303,62.067,6.908358903,0.189,104.395,0.008,4.75,3.1,0,0,-4.37
FECK_6,Feckenham,L3,L,364.897,93.332,42.29732575,5.655,277.059,0.737,0.425,364.771,0,0,-7.66
FERRA2,Ferrybridge A,P5,P,96.551,12.926,3.203650549,0.068,18.4,1.001,0,20.359,0,0,-1.702
FERRB1,Ferrybridge B,P5,P,0,9.848,5.72704E-05,2.762,58.344,7.302,0.831,5.2,0,0,0
FERRB_M,Ferrybridge B,P6,P,106.917,9.235,9.235,0,0,9.7,0,264.32,0,0,-1.914
FETT_P,Fetteresso,T2,T,0,0,0,0,0,0,0,0,0,0,0
FIDD_P,Fiddes,T2,T,12.924,1.145,1.105428843,0.032,4.002,34.624,0.013,0.211,0,0,-0.347
FIDF_1,Fiddlers Ferry,N1,N,369.243,14.763,-5.811761803,0.231,36.184,0.561,0.095,299.053,0,0,-8.633
FINN,Finnieston,S5,S,24.357,3.159,0.445713678,0,0,0,0,0,0,0,-0.722
FLEE_1,Fleet,B3,B,736.329,270.708,66.52364152,5.31,131.374,20.03,14.548,43.852,0,0,-15.138
FAUG_P,Fort Augustus,T1,T,5.758,-1.507,-2.063908688,0.004,0.463,0.016,19.379,0,0,0,-0.156
FWIL_P,Fort William,T1,T,29.695,2.704,1.266926223,0.01,1.231,0.405,30.618,0.333,0,0,-0.797
FOUR_1,Fourstones,Q8,Q,26.821,1.199,0.633464641,0.004,0.444,91.028,0,1.36,0,0,-0.703
FRAS_P,Fraserburgh,T2,T,18.758,5.126,3.270004416,1,1.04,1.23,0,0,0,0,-0.48
FROD_1,Frodsham,N3,N,242.036,13.926,2.444173073,20.245,83.11,58.041,0,300.469,0,0,-5.173
GALA,Galashiels,S6,S,32.691,6.017,2.153790416,0.046,5.737,18.09,0.491,2.777,0,0,-0.872
GIFF,Giffnock,S6,S,58.267,2.999,-2.825531097,0.012,1.505,4.515,0,0,0,0,-1.07
GLEF_P,Glenfarclas,T1,T,0,0,0,0,0,0,0,0,0,0,0
GLLE,Glenlee,S6,S,0,0.002,-0.000106431,0,0,0,38,0,0,0,0
GLLU,Glenluce,S6,S,19.514,3.164,-0.086823651,0.027,3.325,81.86,0.27,2.192,0,0,-0.524
GLNI,Glenniston,S5,S,19.33,2.824,1.65077796,0.015,1.83,34.804,0,0,0,0,-0.418
GLRO,Glenrothes,S5,S,28.669,13.689,9.54715636,0.02,2.458,0.387,0.943,0,0,0,-0.635
GORG,Gorgie,S6,S,25.607,3.7,2.937481771,0.004,0.483,0,0,0.737,0,0,-0.585
GOVA,Govan,S6,S,32.639,2.364,0.629892567,0.015,1.872,0.032,0,0.001,0,0,-0.851
GREE_H,Greenford,A7,A,33.764,-0.082,-0.796868842,0,0,0,0,0,0,0,-0.749
GREN_1,Grendon,J6,J,684.761,74.041,33.04364736,1.684,309.989,108.218,0.064,67.341,0,0,-14.771
GRIW_1,Grimsby West,P7,P,234.628,22.565,5.940499437,0.177,31.935,27.652,0,188.625,0,0,-4.833
GRUB_P,Grudie Bridge,T1,T,20.052,-2.433,-2.433,0.007,0.844,0.609,32.435,0,0,0,-0.538
HACK_1,Hackney 132kV,A1,A,143.796,10.216,4.146398172,0.064,7.894,0,0,1.682,0,0,-3.507
HACK_6,Hackney 66kV,A1,A,166.759,14.646,4.815251788,0,0,0,0,8.8,0,0,-3.723
HAGR,Haggs Road,S6,S,33.389,4.321,2.148847995,0.008,1.026,0,0,0,0,0,-0.717
HAMHC1,Hams Hall,L3,L,394.934,131.72,91.2334002,50.208,48.897,0.175,0,11.539,0,0,-8.176
HARK_1,Harker,Q8,Q,394.497,94.657,72.91693963,20.733,99.314,213.718,10.769,133.604,0,0,-9.773
HARM_6,Hart Moor,Q4,Q,101.385,-4.423,-10.041,0.069,18.535,45.24,0,52.651,0,0,-1.871
HAWI,Hawick,S6,S,22.154,3.166,0.168313669,0.02,2.504,16.244,0.017,0.296,0,0,-0.529
HAWP_6,Hawthorn Pit,Q4,Q,99.346,1.593,-0.407,0.163,28.255,20.948,0,3.904,0,0,-1.556
HELE,Helensburgh,S5,S,19.725,0.537,-0.37210159,0.011,1.409,0,0,0,0,0,-0.406
HEYS_1,Heysham (NGET),R5,R,93.006,-24.457,-28.75893342,0.082,26.859,26.437,0.395,14.98,0,0,-2.04
HEYS1,Heysham (Barrow WF),R5,R,5.9,-1.462,-1.786756148,0,0,0,0,0,0,0,-0.127
HUER,Hunterston Farm,S6,S,3.976,0.961,-0.55670783,0,0,0,0,0,0,0,-0.084
HURS_1,Hurst,A8,A,281.403,-27.002,-110.6335702,0.075,9.317,0,0.105,2.757,0,0,-5.71
